,title,dept_num,description,credits,instructor,syllabus,university,term,keyword,URL
6459," Mass Comm, Technology, and Society",Jour 573,"The theory of mass communications technology in relation to media
functions, responsibilities, and influence in society.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,"societ,technolog",https://catalog.olemiss.edu/2020/spring/journalism/jour-573
6825, Philosophy of Technology,Phil 340,"This course will examine philosophical issues raised by the role of
technology in human life.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,"philosoph,technolog",https://catalog.olemiss.edu/2020/spring/liberal-arts/philosophy-religion/phil-340
7004," Science, Technology, & Public Policy",PPL 386,"Examination of factors which shape public policy decisions in
area of science and technology.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,"polic,technolog",https://catalog.olemiss.edu/2020/spring/liberal-arts/public-policy-leadership/ppl-386
7079," Science, Technology and Society",Soc 321,"An examination of the nature of relationships that exist between the
development of a civilization and science as a concept and as a method,
combined with technology as a series of engineering discoveries and
inventions.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,"societ,technolog",https://catalog.olemiss.edu/2020/spring/liberal-arts/sociology-anthropology/soc-321
7091," Environment, Technology and Society",Soc 411,"This course will explore the ways people relate to their
natural environments.  Topics may include economic production
and consumption, culture and knowledge, mass media and
environmental justice.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,"societ,technolog",https://catalog.olemiss.edu/2020/spring/liberal-arts/sociology-anthropology/soc-411
7345, Science Technology Society in Classroom,Edci 616,"The interrelationships among trends, issues, and strategies in teaching
science, technology, and society (STS) will be explored.  Students will
research, discuss, and critique approaches to teaching STS as well as
plan and evaluate different learning strategies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,"societ,technolog",https://catalog.olemiss.edu/education/teacher-education/edci-616
7596," Mass Comm, Technology, and Society",Jour 573,"The theory of mass communications technology in relation to media
functions, responsibilities, and influence in society.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,"societ,technolog",https://catalog.olemiss.edu/journalism/jour-573
7962, Philosophy of Technology,Phil 340,"This course will examine philosophical issues raised by the role of
technology in human life.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,"philosoph,technolog",https://catalog.olemiss.edu/liberal-arts/philosophy-religion/phil-340
8141," Science, Technology, & Public Policy",PPL 386,"Examination of factors which shape public policy decisions in
area of science and technology.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,"polic,technolog",https://catalog.olemiss.edu/liberal-arts/public-policy-leadership/ppl-386
8216," Science, Technology and Society",Soc 321,"An examination of the nature of relationships that exist between the
development of a civilization and science as a concept and as a method,
combined with technology as a series of engineering discoveries and
inventions.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,"societ,technolog",https://catalog.olemiss.edu/liberal-arts/sociology-anthropology/soc-321
8228," Environment, Technology and Society",Soc 411,"This course will explore the ways people relate to their
natural environments.  Topics may include economic production
and consumption, culture and knowledge, mass media and
environmental justice.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,"societ,technolog",https://catalog.olemiss.edu/liberal-arts/sociology-anthropology/soc-411
8481, Science Technology Society in Classroom,Edci 616,"The interrelationships among trends, issues, and strategies in teaching
science, technology, and society (STS) will be explored.  Students will
research, discuss, and critique approaches to teaching STS as well as
plan and evaluate different learning strategies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,"societ,technolog",https://catalog.olemiss.edu/2019/spring/education/teacher-education/edci-616
8733," Mass Comm, Technology, and Society",Jour 573,"The theory of mass communications technology in relation to media
functions, responsibilities, and influence in society.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,"societ,technolog",https://catalog.olemiss.edu/2019/spring/journalism/jour-573
9099, Philosophy of Technology,Phil 340,"This course will examine philosophical issues raised by the role of
technology in human life.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,"philosoph,technolog",https://catalog.olemiss.edu/2019/spring/liberal-arts/philosophy-religion/phil-340
9279," Science, Technology, & Public Policy",PPL 386,"Examination of factors which shape public policy decisions in
area of science and technology.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,"polic,technolog",https://catalog.olemiss.edu/2019/spring/liberal-arts/public-policy-leadership/ppl-386
9356," Science, Technology and Society",Soc 321,"An examination of the nature of relationships that exist between the
development of a civilization and science as a concept and as a method,
combined with technology as a series of engineering discoveries and
inventions.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,"societ,technolog",https://catalog.olemiss.edu/2019/spring/liberal-arts/sociology-anthropology/soc-321
9368," Environment, Technology and Society",Soc 411,"This course will explore the ways people relate to their
natural environments.  Topics may include economic production
and consumption, culture and knowledge, mass media and
environmental justice.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,"societ,technolog",https://catalog.olemiss.edu/2019/spring/liberal-arts/sociology-anthropology/soc-411
9617, Science Technology Society in Classroom,Edci 616,"The interrelationships among trends, issues, and strategies in teaching
science, technology, and society (STS) will be explored.  Students will
research, discuss, and critique approaches to teaching STS as well as
plan and evaluate different learning strategies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2019,"societ,technolog",https://catalog.olemiss.edu/2019/fall/education/teacher-education/edci-616
9871," Mass Comm, Technology, and Society",Jour 573,"The theory of mass communications technology in relation to media
functions, responsibilities, and influence in society.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2019,"societ,technolog",https://catalog.olemiss.edu/2019/fall/journalism/jour-573
10232, Philosophy of Technology,Phil 340,"This course will examine philosophical issues raised by the role of
technology in human life.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2019,"philosoph,technolog",https://catalog.olemiss.edu/2019/fall/liberal-arts/philosophy-religion/phil-340
10411," Science, Technology, & Public Policy",PPL 386,"Examination of factors which shape public policy decisions in
area of science and technology.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2019,"polic,technolog",https://catalog.olemiss.edu/2019/fall/liberal-arts/public-policy-leadership/ppl-386
10488," Science, Technology and Society",Soc 321,"An examination of the nature of relationships that exist between the
development of a civilization and science as a concept and as a method,
combined with technology as a series of engineering discoveries and
inventions.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2019,"societ,technolog",https://catalog.olemiss.edu/2019/fall/liberal-arts/sociology-anthropology/soc-321
10500," Environment, Technology and Society",Soc 411,"This course will explore the ways people relate to their
natural environments.  Topics may include economic production
and consumption, culture and knowledge, mass media and
environmental justice.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2019,"societ,technolog",https://catalog.olemiss.edu/2019/fall/liberal-arts/sociology-anthropology/soc-411
46, Securities Regulations,Accy 650,"An examination of federal and state securities laws and how they
regulate securities offerings, issuers, markets, and market
participants.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/patterson-accountancy/accy-650
99, Introduction to Homeland Security,CJ 115,"The issues pertaining to the role and mission of the Department of
Homeland Security and related agencies, both domestic and international.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-115
112, Homeland Security Operations,CJ 400,"An examination of government agencies that are involved in war on
terrorism and discussion of weapons of mass destruction issues.
Discussion of various international terrorist groups and their
respoective ideologies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-400
114, Homeland Security Law,CJ 420,"Examination of current domestic legal issues relating to homeland
security with an emphasis on Constitutional separation of powers and
First, Fifth, Fourth, Sixth, Eighth Amendment requirements, the Foreign
Intelligence Surveillance Act (FISA), and the USA Patriot Act, and
similar laws.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-420
119, Border Security,CJ 470,"This course provides the student with an analysis of the problems that
concern the protection of the borders of the United States.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-470
130, Seminar in Homeland Security,CJ 630,"Examines security theories, research, and practice related to the
administration of security operations. Reviews topics such as risk
assessment, risk prevention, and protection of assets, with particular
emphasis on the role of criminal justice and security systems.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-630
134, Critical Infrastructure Security,CJ 636,"Review of U.S. counterterrorism policies and practices for the security
of U.S. major critical infrastructures, including transportation and
border security.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-636
135, Cybercrime and Cyber Security,CJ 642,"Overview of current issues surrounding the technical, social, and legal
aspects of cybercrime and security from a policy perspective. Includes
review of concepts and issues of cybercrime and cybersecurity, such as
security issues in computer systems, networks, and applications.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-642
143, Intelligence and Homeland Security,CJ 670,"Advanced course on intelligence and counterintelligence aspects
of homeland security as they relate to domestic security,
emergency, preparedness, technology policy, and timely
intelligence for improved policymaking.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-670
159, Fundamentals of Computer Security,Csci 427,"This course explores the concepts and methods of computer security and
the appropriate tools to identify and remedy vulnerabilities across
leading network and systems platforms. It emphasizes both offensive and
defensive analysis tools, including scanners, sniffers, intrusion
detection systems, access control lists, and firewalls. It stresses
adherence to professional guidelines for ethical hacking and security.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/engineering/computer-science/csci-427
242, Security Analysis and Portfolio Mgmt,Fin 533,"Impact of economic factors and security markets upon security value;
risk and return in efficient portfolios.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/business/finance/fin-533
441, Securities Regulations,Accy 650,"An examination of federal and state securities laws and how they
regulate securities offerings, issuers, markets, and market
participants.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/patterson-accountancy/accy-650
494, Introduction to Homeland Security,CJ 115,"The issues pertaining to the role and mission of the Department of
Homeland Security and related agencies, both domestic and international.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-115
507, Homeland Security Operations,CJ 400,"An examination of government agencies that are involved in war on
terrorism and discussion of weapons of mass destruction issues.
Discussion of various international terrorist groups and their
respoective ideologies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-400
509, Homeland Security Law,CJ 420,"Examination of current domestic legal issues relating to homeland
security with an emphasis on Constitutional separation of powers and
First, Fifth, Fourth, Sixth, Eighth Amendment requirements, the Foreign
Intelligence Surveillance Act (FISA), and the USA Patriot Act, and
similar laws.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-420
514, Border Security,CJ 470,"This course provides the student with an analysis of the problems that
concern the protection of the borders of the United States.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-470
525, Seminar in Homeland Security,CJ 630,"Examines security theories, research, and practice related to the
administration of security operations. Reviews topics such as risk
assessment, risk prevention, and protection of assets, with particular
emphasis on the role of criminal justice and security systems.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-630
529, Critical Infrastructure Security,CJ 636,"Review of U.S. counterterrorism policies and practices for the security
of U.S. major critical infrastructures, including transportation and
border security.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-636
530, Cybercrime and Cyber Security,CJ 642,"Overview of current issues surrounding the technical, social, and legal
aspects of cybercrime and security from a policy perspective. Includes
review of concepts and issues of cybercrime and cybersecurity, such as
security issues in computer systems, networks, and applications.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-642
538, Intelligence and Homeland Security,CJ 670,"Advanced course on intelligence and counterintelligence aspects
of homeland security as they relate to domestic security,
emergency, preparedness, technology policy, and timely
intelligence for improved policymaking.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/applied-sciences/legal-studies/cj-670
554, Fundamentals of Computer Security,Csci 427,"This course explores the concepts and methods of computer security and
the appropriate tools to identify and remedy vulnerabilities across
leading network and systems platforms. It emphasizes both offensive and
defensive analysis tools, including scanners, sniffers, intrusion
detection systems, access control lists, and firewalls. It stresses
adherence to professional guidelines for ethical hacking and security.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/engineering/computer-science/csci-427
637, Security Analysis and Portfolio Mgmt,Fin 533,"Impact of economic factors and security markets upon security value;
risk and return in efficient portfolios.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/business/finance/fin-533
873, Secured Transactions,Law 571,"Theoretical and practical justifications for the creation of security
interests in personal property.  Emphasis is on Articles 1, 2A, and 9 of
the Uniform Commercial Code and bankruptcy law.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/law/law-571
938, Securities Regulation,Law 650,"An examination of federal and state securities laws and how they
regulate securities offerings, issuers, markets, and market
participants.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/law/law-650
948, International Security Law and Policy,Law 658,"Legal issues relating to war and armed conflict, separation of
constitutional powers, emergency powers, the security role of the United
Nations and the strengthening of the enforcement of international
humanitarian law; related political, military, and diplomatic
ramifications.",2 - 3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/law/law-658
1041, Space Security Law,Law 736,"Space Security Law addresses a wide variety of national and
international legal issues dealing with both the security of the space
environment and national security derived from reliance on space assets,
such as telecommunications satellites, remote sensing satellites and
launch technologies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/law/law-736
1326, International Security Law and Policy,Pol 736,"This course explores the complexities of the international law of
conflict management and the legal structure for resolving international
disputes.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/liberal-arts/political-science/pol-736
1351, Homeland Security Policy,PPL 362,"This course examines all facets of homeland security in the United
States. It includes a review of the historical and contemporary
governmental theories and practices of homeland security at both the
public and private levels. Other topics to be presented include the
threat of terrorism, counterterrorism, governmental policy,
intelligence, and investigative techniques that support this overall
objective.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/liberal-arts/public-policy-leadership/ppl-362
1455, Studies in Housing Insecurity,Soc 420,"For the majority of low-income American families, housing is their
biggest expense, and often their biggest stressor. Research is clear
that the dynamics of housing exert an enormous influence on one's
health, job stability, educational success, and other matters we deem
important to well-being. Debates about how to provide affordable and
secure housing for all are widespread, and heated. This course examines
these issues firsthand through the collection and analysis of original
data in the Lafayette-Oxford-University community.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,secur,https://catalog.olemiss.edu/2020/spring/liberal-arts/sociology-anthropology/soc-420
1578, Securities Regulations,Accy 650,"An examination of federal and state securities laws and how they
regulate securities offerings, issuers, markets, and market
participants.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/patterson-accountancy/accy-650
1631, Introduction to Homeland Security,CJ 115,"The issues pertaining to the role and mission of the Department of
Homeland Security and related agencies, both domestic and international.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-115
1644, Homeland Security Operations,CJ 400,"An examination of government agencies that are involved in war on
terrorism and discussion of weapons of mass destruction issues.
Discussion of various international terrorist groups and their
respoective ideologies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-400
1646, Homeland Security Law,CJ 420,"Examination of current domestic legal issues relating to homeland
security with an emphasis on Constitutional separation of powers and
First, Fifth, Fourth, Sixth, Eighth Amendment requirements, the Foreign
Intelligence Surveillance Act (FISA), and the USA Patriot Act, and
similar laws.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-420
1651, Border Security,CJ 470,"This course provides the student with an analysis of the problems that
concern the protection of the borders of the United States.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-470
1662, Seminar in Homeland Security,CJ 630,"Examines security theories, research, and practice related to the
administration of security operations. Reviews topics such as risk
assessment, risk prevention, and protection of assets, with particular
emphasis on the role of criminal justice and security systems.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-630
1666, Critical Infrastructure Security,CJ 636,"Review of U.S. counterterrorism policies and practices for the security
of U.S. major critical infrastructures, including transportation and
border security.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-636
1667, Cybercrime and Cyber Security,CJ 642,"Overview of current issues surrounding the technical, social, and legal
aspects of cybercrime and security from a policy perspective. Includes
review of concepts and issues of cybercrime and cybersecurity, such as
security issues in computer systems, networks, and applications.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-642
1675, Intelligence and Homeland Security,CJ 670,"Advanced course on intelligence and counterintelligence aspects
of homeland security as they relate to domestic security,
emergency, preparedness, technology policy, and timely
intelligence for improved policymaking.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/applied-sciences/legal-studies/cj-670
1691, Fundamentals of Computer Security,Csci 427,"This course explores the concepts and methods of computer security and
the appropriate tools to identify and remedy vulnerabilities across
leading network and systems platforms. It emphasizes both offensive and
defensive analysis tools, including scanners, sniffers, intrusion
detection systems, access control lists, and firewalls. It stresses
adherence to professional guidelines for ethical hacking and security.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/engineering/computer-science/csci-427
1774, Security Analysis and Portfolio Mgmt,Fin 533,"Impact of economic factors and security markets upon security value;
risk and return in efficient portfolios.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/business/finance/fin-533
2010, Secured Transactions,Law 571,"Theoretical and practical justifications for the creation of security
interests in personal property.  Emphasis is on Articles 1, 2A, and 9 of
the Uniform Commercial Code and bankruptcy law.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/law/law-571
2075, Securities Regulation,Law 650,"An examination of federal and state securities laws and how they
regulate securities offerings, issuers, markets, and market
participants.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/law/law-650
2085, International Security Law and Policy,Law 658,"Legal issues relating to war and armed conflict, separation of
constitutional powers, emergency powers, the security role of the United
Nations and the strengthening of the enforcement of international
humanitarian law; related political, military, and diplomatic
ramifications.",2 - 3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/law/law-658
2178, Space Security Law,Law 736,"Space Security Law addresses a wide variety of national and
international legal issues dealing with both the security of the space
environment and national security derived from reliance on space assets,
such as telecommunications satellites, remote sensing satellites and
launch technologies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/law/law-736
2463, International Security Law and Policy,Pol 736,"This course explores the complexities of the international law of
conflict management and the legal structure for resolving international
disputes.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/liberal-arts/political-science/pol-736
2488, Homeland Security Policy,PPL 362,"This course examines all facets of homeland security in the United
States. It includes a review of the historical and contemporary
governmental theories and practices of homeland security at both the
public and private levels. Other topics to be presented include the
threat of terrorism, counterterrorism, governmental policy,
intelligence, and investigative techniques that support this overall
objective.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/liberal-arts/public-policy-leadership/ppl-362
2592, Studies in Housing Insecurity,Soc 420,"For the majority of low-income American families, housing is their
biggest expense, and often their biggest stressor. Research is clear
that the dynamics of housing exert an enormous influence on one's
health, job stability, educational success, and other matters we deem
important to well-being. Debates about how to provide affordable and
secure housing for all are widespread, and heated. This course examines
these issues firsthand through the collection and analysis of original
data in the Lafayette-Oxford-University community.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,secur,https://catalog.olemiss.edu/liberal-arts/sociology-anthropology/soc-420
